team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Rosario Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Argentina Liga Profissional de Futebol,2026,2.0,2.0,1.0,10.0,1.0,11.0,6.0,26.0,80.0,111.0,20.0,54.0,35.0,65.0,1.0,1.0,4.0,16.0,2.0,10.0,0.0,1.0,14.0,2.0,3.0,21.0,15.0,14.0,10.0,1.0,3.0,6.0,0.32,0.34,0.37,,,0.55,0.48,0.47,0.56,,,0.3,0.35,0.41,0.57,0.5,0.55,0.51,,,,
Sarmiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Argentina Liga Profissional de Futebol,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,0.3,0.22,,,,,0.5,0.53,0.51,0.55,0.51,0.31,0.22,0.56,0.51,,,,,0.5,0.56
Talleres Córdoba,2.0,2.0,1.0,10.0,1.0,11.0,6.0,26.0,80.0,111.0,20.0,54.0,35.0,65.0,1.0,1.0,4.0,16.0,2.0,10.0,0.0,1.0,14.0,2.0,3.0,21.0,15.0,14.0,10.0,1.0,3.0,6.0,0.32,0.34,0.37,,,0.55,0.48,0.47,0.56,,,0.3,0.35,0.41,0.57,0.5,0.55,0.51,,,,,Argentina Liga Profissional de Futebol,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unión Santa Fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,0.3,0.22,,,,,0.5,0.53,0.51,0.55,0.51,0.31,0.22,0.56,0.51,,,,,0.5,0.56,Argentina Liga Profissional de Futebol,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genk,4.0,0.0,2.0,7.0,3.0,3.0,12.0,13.0,83.0,86.0,55.0,73.0,49.0,51.0,1.0,0.0,10.0,7.0,2.0,6.0,0.0,1.0,8.0,2.0,1.0,1.0,7.0,4.0,1.0,3.0,0.0,1.0,0.62,0.23,0.18,,,,,,,,,0.65,0.26,0.2,0.44,0.64,,,,,,,Belgium Liga Pro,2026-2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SK Beveren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belgium Liga Pro,2026-2027,4.0,0.0,2.0,7.0,3.0,3.0,12.0,13.0,83.0,86.0,55.0,73.0,49.0,51.0,1.0,0.0,10.0,7.0,2.0,6.0,0.0,1.0,8.0,2.0,1.0,1.0,7.0,4.0,1.0,3.0,0.0,1.0,0.62,0.23,0.18,,,,,,,,,0.65,0.26,0.2,0.44,0.64,,,,,,
Akron,2.0,2.0,1.0,7.0,2.0,7.0,7.0,20.0,85.0,82.0,43.0,50.0,43.0,57.0,,,4.0,8.0,3.0,12.0,6.0,1.0,7.0,5.0,5.0,11.0,23.0,9.0,5.0,1.0,5.0,1.0,0.19,0.24,0.61,,,,,,,,,,,,,,,,,,,,Russia Premier League,2026-2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSKA Moskva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Russia Premier League,2026-2027,2.0,2.0,1.0,7.0,2.0,7.0,7.0,20.0,85.0,82.0,43.0,50.0,43.0,57.0,,,4.0,8.0,3.0,12.0,6.0,1.0,7.0,5.0,5.0,11.0,23.0,9.0,5.0,1.0,5.0,1.0,0.19,0.24,0.61,,,,,,,,,,,,,,,,,,,
Central Español,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uruguay Primera Division,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.29,0.26,,,,,0.53,0.51,,,0.51,0.32,0.29,0.56,0.53,0.56,0.5,,,,
Wanderers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.29,0.26,,,,,0.53,0.51,,,0.51,0.32,0.29,0.56,0.53,0.56,0.5,,,,,Uruguay Primera Division,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC Milan,2.0,0.0,2.0,2.0,9.0,3.0,16.0,8.0,92.0,98.0,45.0,32.0,58.0,42.0,,,11.0,6.0,5.0,2.0,1.0,4.0,5.0,12.0,14.0,4.0,8.0,11.0,2.0,4.0,1.0,3.0,0.67,0.22,0.15,,,,,,,0.54,0.49,0.67,0.22,0.16,0.53,0.53,,,,,0.55,0.5,Italy Serie A,2026-2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italy Serie A,2026-2027,2.0,0.0,2.0,2.0,9.0,3.0,16.0,8.0,92.0,98.0,45.0,32.0,58.0,42.0,,,11.0,6.0,5.0,2.0,1.0,4.0,5.0,12.0,14.0,4.0,8.0,11.0,2.0,4.0,1.0,3.0,0.67,0.22,0.15,,,,,,,0.54,0.49,0.67,0.22,0.16,0.53,0.53,,,,,0.55,0.5
Erzurumspor FK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turkey Super Lig,2026-2027,1.0,1.0,3.0,5.0,6.0,4.0,16.0,9.0,104.0,88.0,49.0,33.0,48.0,52.0,,,7.0,6.0,9.0,3.0,2.0,1.0,6.0,5.0,8.0,8.0,15.0,11.0,3.0,3.0,3.0,3.0,0.43,0.34,0.26,,,0.53,0.5,0.47,0.56,0.49,0.55,0.44,0.32,0.29,0.6,0.48,0.53,0.53,,,0.5,0.56
Gençlerbirliği,1.0,1.0,3.0,5.0,6.0,4.0,16.0,9.0,104.0,88.0,49.0,33.0,48.0,52.0,,,7.0,6.0,9.0,3.0,2.0,1.0,6.0,5.0,8.0,8.0,15.0,11.0,3.0,3.0,3.0,3.0,0.43,0.34,0.26,,,0.53,0.5,0.47,0.56,0.49,0.55,0.44,0.32,0.29,0.6,0.48,0.53,0.53,,,0.5,0.56,Turkey Super Lig,2026-2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horsens,2.0,3.0,3.0,6.0,3.0,5.0,9.0,12.0,100.0,68.0,43.0,34.0,52.0,48.0,,,3.0,9.0,6.0,3.0,3.0,2.0,9.0,9.0,7.0,11.0,15.0,13.0,4.0,3.0,3.0,1.0,0.21,0.26,0.57,,,,,,,,,0.21,0.26,0.6,0.48,0.6,,,,,,,Denmark Superliga,2026-2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viborg FF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Denmark Superliga,2026-2027,2.0,3.0,3.0,6.0,3.0,5.0,9.0,12.0,100.0,68.0,43.0,34.0,52.0,48.0,,,3.0,9.0,6.0,3.0,3.0,2.0,9.0,9.0,7.0,11.0,15.0,13.0,4.0,3.0,3.0,1.0,0.21,0.26,0.57,,,,,,,,,0.21,0.26,0.6,0.48,0.6,,,,,,
