name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,prob_home_pinacle,prob_draw_pinacle,prob_away_pinacle,prob_btts_pinacle,prob_no_btts_pinacle,prob_over_pinnacle_2,prob_under_pinnacle_2,prob_over_pinnacle_2_25,prob_under_pinnacle_2_25,prob_over_pinnacle_2_5,prob_under_pinnacle_2_5,prob_bet365_home,prob_bet365_draw,prob_bet365_away,prob_btts_bet365_no,prob_btts_bet365_yes,prob_over_bet365_2_0,prob_under_bet365_2_0,"prob_over_bet365_2_0, 2_5","prob_under_bet365_2_0, 2_5",prob_over_bet365_2_5,prob_under_bet365_2_5,Temporada
Kasımpaşa vs Konyaspor,2026-09-18 17:00:00,Game ended in draw.,Turkey Super Lig,Kasımpaşa,Konyaspor,,,4,16,6.0,4.0,5.0,4.0,13.0,11.0,62.0,64.0,40.0,31.0,47.0,53.0,,,9.0,8.0,5.0,3.0,2.0,3.0,6.0,9.0,6.0,7.0,17.0,16.0,4.0,2.0,3.0,4.0,2.52,3.21,3.08,,,1.81,2.05,1.92,1.96,2.06,1.84,2.37,3.2,2.9,1.9,1.8,,,,,2.02,1.77,0.4,0.31,0.32,,,0.55,0.49,0.52,0.51,0.49,0.54,0.42,0.31,0.34,0.53,0.56,,,,,0.5,0.56,2026-2027
Kocaelispor vs Gaziantep F.K.,2026-09-19 14:00:00,Kocaelispor won after full-time.,Turkey Super Lig,Kocaelispor,Gaziantep F.K.,2.0,0.0,5,7,1.0,2.0,7.0,10.0,19.0,16.0,62.0,64.0,27.0,24.0,51.0,49.0,,,13.0,10.0,6.0,6.0,1.0,2.0,7.0,8.0,10.0,12.0,16.0,12.0,3.0,3.0,1.0,2.0,2.57,3.06,3.16,,,,,2.08,1.81,,,2.45,2.9,3.2,1.8,1.9,,,,,,,0.39,0.33,0.32,,,,,0.48,0.55,,,0.41,0.34,0.31,0.56,0.53,,,,,,,2026-2027
Çorum FK vs Alanyaspor,2026-09-19 14:00:00,Alanyaspor won after full-time.,Turkey Super Lig,Çorum FK,Alanyaspor,1.0,2.0,10,8,3.0,3.0,4.0,3.0,12.0,9.0,114.0,58.0,39.0,19.0,66.0,34.0,,,7.0,6.0,5.0,3.0,1.0,0.0,9.0,5.0,6.0,8.0,21.0,8.0,3.0,4.0,5.0,0.0,2.06,3.49,3.8,,,,,1.9,1.96,2.04,1.86,2.1,3.2,3.5,1.83,1.83,,,,,1.97,1.82,0.49,0.29,0.26,,,,,0.53,0.51,0.49,0.54,0.48,0.31,0.29,0.55,0.55,,,,,0.51,0.55,2026-2027
İstanbul Başakşehir vs Gençlerbirliği,2026-09-19 17:00:00,İstanbul Başakşehir won after full-time.,Turkey Super Lig,İstanbul Başakşehir,Gençlerbirliği,4.0,0.0,14,12,3.0,7.0,3.0,3.0,18.0,7.0,84.0,49.0,49.0,23.0,54.0,46.0,1.0,0.0,12.0,3.0,6.0,4.0,2.0,3.0,4.0,7.0,14.0,2.0,11.0,9.0,0.0,7.0,2.0,1.0,1.75,4.08,4.55,,,,,,,,,1.61,4.1,4.75,2.2,1.61,,,,,,,0.57,0.25,0.22,,,,,,,,,0.62,0.24,0.21,0.45,0.62,,,,,,,2026-2027
Trabzonspor vs Galatasaray,2026-09-19 17:00:00,Trabzonspor won after full-time.,Turkey Super Lig,Trabzonspor,Galatasaray,4.0,0.0,9,1,1.0,5.0,3.0,5.0,7.0,13.0,64.0,92.0,33.0,50.0,46.0,54.0,,,7.0,8.0,0.0,5.0,3.0,0.0,13.0,4.0,6.0,6.0,15.0,18.0,2.0,0.0,4.0,1.0,3.14,3.77,2.22,,,,,,,,,3.2,3.6,2.05,2.62,1.44,,,,,,,0.32,0.27,0.45,,,,,,,,,0.31,0.28,0.49,0.38,0.69,,,,,,,2026-2027
