name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,prob_home_pinacle,prob_draw_pinacle,prob_away_pinacle,prob_btts_pinacle,prob_no_btts_pinacle,prob_over_pinnacle_2,prob_under_pinnacle_2,prob_over_pinnacle_2_25,prob_under_pinnacle_2_25,prob_over_pinnacle_2_5,prob_under_pinnacle_2_5,prob_bet365_home,prob_bet365_draw,prob_bet365_away,prob_btts_bet365_no,prob_btts_bet365_yes,prob_over_bet365_2_0,prob_under_bet365_2_0,"prob_over_bet365_2_0, 2_5","prob_under_bet365_2_0, 2_5",prob_over_bet365_2_5,prob_under_bet365_2_5,Temporada
Silkeborg IF vs FC København,2026-08-02 16:00:00,FC København won after full-time.,Denmark Superliga,Silkeborg IF,FC København,1.0,3.0,7,3,7.0,4.0,6.0,1.0,13.0,10.0,69.0,117.0,30.0,49.0,44.0,56.0,,,4.0,6.0,9.0,4.0,1.0,1.0,5.0,9.0,11.0,7.0,10.0,9.0,3.0,4.0,2.0,2.0,6.91,5.13,1.43,,,,,,,,,6.5,4.75,1.44,2.5,1.5,,,,,,,0.14,0.19,0.7,,,,,,,,,0.15,0.21,0.69,0.4,0.67,,,,,,,2026-2027
Odense BK vs Sønderjyske Fodbold,2026-08-03 17:00:00,Odense BK won after full-time.,Denmark Superliga,Odense BK,Sønderjyske Fodbold,1.0,0.0,12,11,7.0,9.0,10.0,1.0,17.0,8.0,118.0,102.0,60.0,46.0,56.0,44.0,,,12.0,6.0,5.0,2.0,,,7.0,14.0,11.0,3.0,10.0,12.0,2.0,3.0,1.0,1.0,2.23,3.57,3.28,,,,,,,,,2.25,3.5,3.0,2.5,1.5,,,,,,,0.45,0.28,0.3,,,,,,,,,0.44,0.29,0.33,0.4,0.67,,,,,,,2026-2027
Sønderjyske Fodbold vs Viborg FF,2026-08-07 17:00:00,Game ended in draw.,Denmark Superliga,Sønderjyske Fodbold,Viborg FF,,,12,6,4.0,7.0,6.0,8.0,9.0,18.0,65.0,90.0,24.0,68.0,35.0,65.0,,,5.0,15.0,4.0,3.0,1.0,4.0,12.0,6.0,4.0,11.0,18.0,7.0,4.0,3.0,1.0,0.0,4.09,4.42,1.77,,,,,,,,,4.1,4.1,1.72,2.37,1.53,,,,,,,0.24,0.23,0.56,,,,,,,,,0.24,0.24,0.58,0.42,0.65,,,,,,,2026-2027
Randers FC vs Lyngby Boldklub,2026-08-09 14:00:00,Randers FC won after full-time.,Denmark Superliga,Randers FC,Lyngby Boldklub,2.0,0.0,10,8,3.0,9.0,4.0,6.0,10.0,14.0,81.0,152.0,32.0,107.0,42.0,58.0,,,6.0,10.0,4.0,4.0,1.0,3.0,10.0,7.0,8.0,10.0,9.0,16.0,4.0,1.0,0.0,1.0,2.33,3.7,2.99,,,,,,,,,2.3,3.4,2.9,2.25,1.57,,,,,,,0.43,0.27,0.33,,,,,,,,,0.43,0.29,0.34,0.44,0.64,,,,,,,2026-2027
Horsens vs Brøndby IF,2026-08-09 16:00:00,Brøndby IF won after full-time.,Denmark Superliga,Horsens,Brøndby IF,0.0,2.0,9,4,3.0,6.0,5.0,5.0,10.0,9.0,93.0,93.0,41.0,50.0,52.0,48.0,,,5.0,7.0,5.0,2.0,3.0,2.0,7.0,7.0,5.0,7.0,18.0,9.0,1.0,3.0,2.0,2.0,5.66,4.19,1.61,,,,,,,1.84,2.06,5.5,4.0,1.57,1.9,1.9,,,,,1.85,1.95,0.18,0.24,0.62,,,,,,,0.54,0.49,0.18,0.25,0.64,0.53,0.53,,,,,0.54,0.51,2026-2027
Silkeborg IF vs Odense BK,2026-08-10 17:00:00,Silkeborg IF won after full-time.,Denmark Superliga,Silkeborg IF,Odense BK,1.0,0.0,10,7,6.0,3.0,4.0,4.0,14.0,10.0,78.0,140.0,42.0,65.0,51.0,49.0,,,11.0,7.0,3.0,3.0,1.0,2.0,10.0,6.0,6.0,7.0,7.0,17.0,3.0,3.0,1.0,3.0,3.02,3.63,2.34,,,,,,,,,2.9,3.5,2.25,2.62,1.44,,,,,,,0.33,0.28,0.43,,,,,,,,,0.34,0.29,0.44,0.38,0.69,,,,,,,2026-2027
Viborg FF vs AGF,2026-08-14 17:00:00,Viborg FF won after full-time.,Denmark Superliga,Viborg FF,AGF,2.0,1.0,6,9,3.0,10.0,5.0,4.0,12.0,22.0,71.0,121.0,32.0,69.0,34.0,66.0,,,7.0,14.0,5.0,8.0,1.0,1.0,7.0,10.0,9.0,10.0,15.0,14.0,6.0,1.0,0.0,1.0,2.1,3.61,3.58,,,,,,,,,2.1,3.7,3.2,2.62,1.44,,,,,,,0.48,0.28,0.28,,,,,,,,,0.48,0.27,0.31,0.38,0.69,,,,,,,2026-2027
Nordsjælland vs Silkeborg IF,2026-08-16 12:00:00,Nordsjælland won after full-time.,Denmark Superliga,Nordsjælland,Silkeborg IF,1.0,0.0,6,7,8.0,1.0,10.0,1.0,20.0,4.0,144.0,83.0,76.0,22.0,55.0,45.0,,,14.0,1.0,6.0,3.0,1.0,1.0,3.0,14.0,14.0,1.0,10.0,9.0,0.0,6.0,2.0,2.0,1.38,5.74,7.22,,,,,,,,,1.36,5.0,7.5,2.37,1.53,,,,,,,0.72,0.17,0.14,,,,,,,,,0.74,0.2,0.13,0.42,0.65,,,,,,,2026-2027
Odense BK vs Horsens,2026-08-16 12:00:00,Horsens won after full-time.,Denmark Superliga,Odense BK,Horsens,1.0,2.0,8,12,9.0,3.0,8.0,4.0,16.0,13.0,147.0,73.0,81.0,36.0,58.0,42.0,,,13.0,8.0,3.0,5.0,0.0,3.0,5.0,16.0,7.0,8.0,11.0,11.0,4.0,1.0,1.0,0.0,1.81,3.67,4.76,,,,,1.81,2.06,1.98,1.9,1.75,3.9,4.2,1.95,1.8,,,,,1.92,1.87,0.55,0.27,0.21,,,,,0.55,0.49,0.51,0.53,0.57,0.26,0.24,0.51,0.56,,,,,0.52,0.53,2026-2027
Lyngby Boldklub vs FC Midtjylland,2026-08-16 14:00:00,Game ended in draw.,Denmark Superliga,Lyngby Boldklub,FC Midtjylland,1.0,1.0,12,5,3.0,5.0,1.0,4.0,9.0,9.0,105.0,80.0,39.0,52.0,43.0,57.0,,,4.0,9.0,5.0,0.0,3.0,3.0,11.0,8.0,3.0,9.0,19.0,18.0,1.0,1.0,2.0,3.0,3.99,4.0,1.87,,,,,,,,,4.0,3.75,1.85,2.37,1.53,,,,,,,0.25,0.25,0.53,,,,,,,,,0.25,0.27,0.54,0.42,0.65,,,,,,,2026-2027
Randers FC vs FC København,2026-08-16 16:00:00,FC København won after full-time.,Denmark Superliga,Randers FC,FC København,0.0,4.0,6,4,6.0,4.0,3.0,6.0,10.0,19.0,133.0,75.0,66.0,41.0,56.0,44.0,,,4.0,10.0,6.0,9.0,2.0,1.0,7.0,8.0,4.0,10.0,10.0,11.0,2.0,0.0,1.0,0.0,4.72,4.26,1.69,,,,,,,,,4.5,4.1,1.66,2.25,1.57,,,,,,,0.21,0.23,0.59,,,,,,,,,0.22,0.24,0.6,0.44,0.64,,,,,,,2026-2027
Brøndby IF vs Sønderjyske Fodbold,2026-08-17 17:00:00,Brøndby IF won after full-time.,Denmark Superliga,Brøndby IF,Sønderjyske Fodbold,3.0,2.0,2,12,10.0,1.0,11.0,5.0,18.0,10.0,117.0,66.0,75.0,20.0,64.0,36.0,,,8.0,7.0,10.0,3.0,1.0,1.0,6.0,16.0,13.0,7.0,9.0,12.0,3.0,1.0,2.0,4.0,1.4,4.99,7.98,,,,,,,,,1.42,5.0,7.0,1.95,1.8,,,,,,,0.71,0.2,0.13,,,,,,,,,0.7,0.2,0.14,0.51,0.56,,,,,,,2026-2027
