name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,prob_home_pinacle,prob_draw_pinacle,prob_away_pinacle,prob_btts_pinacle,prob_no_btts_pinacle,prob_over_pinnacle_2,prob_under_pinnacle_2,prob_over_pinnacle_2_25,prob_under_pinnacle_2_25,prob_over_pinnacle_2_5,prob_under_pinnacle_2_5,prob_bet365_home,prob_bet365_draw,prob_bet365_away,prob_btts_bet365_no,prob_btts_bet365_yes,prob_over_bet365_2_0,prob_under_bet365_2_0,"prob_over_bet365_2_0, 2_5","prob_under_bet365_2_0, 2_5",prob_over_bet365_2_5,prob_under_bet365_2_5,Temporada
Olympiacos F.C. vs OFI,2026-09-12 16:00:00,OFI won after full-time.,Greece Super Liga,Olympiacos F.C.,OFI,0.0,1.0,4,7,8,2,11,9,20,13,131,58,67.0,16.0,62,38,,,13.0,10.0,7.0,3.0,0.0,4.0,5,14,13.0,6.0,12.0,6.0,4.0,4.0,1.0,0.0,1.24,6.29,12.06,,,,,,,,,1.25,6.0,11.0,1.61,2.2,,,,,,,0.81,0.16,0.08,,,,,,,,,0.8,0.17,0.09,0.62,0.45,,,,,,,2026-2027
Iraklis 1908 U19 vs Atromitos,2026-09-12 18:00:00,Game ended in draw.,Greece Super Liga,Iraklis Tessalônica,Atromitos,1.0,1.0,8,10,1,0,7,5,10,10,43,27,,,59,41,,,6.0,8.0,4.0,2.0,0.0,3.0,7,9,7.0,8.0,19.0,19.0,3.0,1.0,4.0,4.0,3.09,2.98,2.64,,,,,2.0,1.87,,,2.87,3.25,2.45,1.8,1.95,,,,,,,0.32,0.34,0.38,,,,,0.5,0.53,,,0.35,0.31,0.41,0.56,0.51,,,,,,,2026-2027
Kalamata vs Volos NFC,2026-09-13 15:00:00,Kalamata won after full-time.,Greece Super Liga,Kalamata,Volos NFC,3.0,1.0,11,10,6,3,8,4,15,11,86,94,46.0,36.0,47,53,,,12.0,7.0,3.0,4.0,3.0,0.0,10,9,11.0,8.0,16.0,14.0,4.0,3.0,2.0,4.0,2.74,3.35,2.66,,,1.94,1.9,1.84,2.04,,,2.62,3.2,2.7,1.95,1.8,1.75,2.05,,,2.0,1.8,0.36,0.3,0.38,,,0.52,0.53,0.54,0.49,,,0.38,0.31,0.37,0.51,0.56,0.57,0.49,,,0.5,0.56,2026-2027
Asteras Tripolis vs AEK Atenas,2026-09-13 16:00:00,Game ended in draw.,Greece Super Liga,Asteras Tripolis,AEK Athens,1.0,1.0,13,4,7,5,3,10,13,21,81,97,35.0,57.0,38,62,,,10.0,18.0,3.0,3.0,0.0,2.0,12,4,8.0,9.0,18.0,11.0,2.0,4.0,2.0,1.0,7.51,4.63,1.44,,,,,,,1.86,2.02,7.5,4.2,1.44,1.75,2.0,,,,,1.8,2.0,0.13,0.22,0.69,,,,,,,0.54,0.5,0.13,0.24,0.69,0.57,0.5,,,,,0.56,0.5,2026-2027
PAOK vs Aris,2026-09-13 18:00:00,PAOK won after full-time.,Greece Super Liga,PAOK,Aris,2.0,0.0,6,7,3,7,5,4,13,15,106,103,44.0,44.0,46,54,1.0,0.0,8.0,11.0,5.0,4.0,,,7,8,9.0,6.0,15.0,15.0,3.0,4.0,3.0,1.0,1.52,4.37,6.41,,,,,,,1.94,1.9,1.55,4.2,5.5,1.75,2.0,,,,,1.95,1.85,0.66,0.23,0.16,,,,,,,0.52,0.53,0.65,0.24,0.18,0.57,0.5,,,,,0.51,0.54,2026-2027
Kifisia vs Levadiakos,2026-09-13 18:00:00,Game ended in draw.,Greece Super Liga,Kifisia,Levadiakos,,,12,14,9,4,3,1,10,5,96,79,56.0,27.0,63,37,,,6.0,1.0,4.0,4.0,3.0,6.0,3,5,4.0,1.0,16.0,14.0,1.0,4.0,3.0,4.0,2.04,3.32,4.01,,,,,1.83,2.01,,,1.95,3.4,3.9,1.9,1.9,,,,,,,0.49,0.3,0.25,,,,,0.55,0.5,,,0.51,0.29,0.26,0.53,0.53,,,,,,,2026-2027
Panathinaikos vs Panaitolikos,2026-09-13 18:30:00,Panathinaikos won after full-time.,Greece Super Liga,Panathinaikos,Panaitolikos,3.0,0.0,1,2,8,2,8,3,27,5,32,28,72.0,23.0,62,38,1.0,0.0,18.0,3.0,8.0,2.0,2.0,1.0,1,10,15.0,3.0,17.0,9.0,2.0,5.0,1.0,2.0,1.2,7.31,14.39,,,,,,,,,1.2,6.5,12.0,1.61,2.2,,,,,1.82,1.97,0.83,0.14,0.07,,,,,,,,,0.83,0.15,0.08,0.62,0.45,,,,,0.55,0.51,2026-2027
